Altium Designer Pick and Place Locations
E:\Projects\PCB Design\A3D - RUMBA\IsolatedUSBTest\PCB\Outputs\IsoUSBTest_v1_0_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       30/11/24
Time:       16:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","USBLC6-2","TopLayer","SOT95P280X145-6N","10.0093","14.0000","0","ESD Protection IC"
"J1","","TopLayer","Micro-USB_B_Molex_105017-0001","3.1500","14.0000","270","CONN RCPT USB2.0 MICRO B SMD R/A"
"U3","ISO7731DBQR","TopLayer","SOP64P600X175-16N","28.8000","14.0000","0","DGTL ISO 3000VRMS 3CH GP 16SSOP"
"U1","CP2102N-24","TopLayer","QFN50P400X400X80_HS-25N","19.0000","14.0000","0",""
"TP23","TESTPOINT","TopLayer","TP-THT_TINY","33.3000","12.4125","90","SMD test pin"
"TP22","TESTPOINT","TopLayer","TP-THT_TINY","24.3865","11.4000","90","SMD test pin"
"TP21","TESTPOINT","TopLayer","TP-THT_TINY","33.9325","13.6825","90","SMD test pin"
"TP20","TESTPOINT","TopLayer","TP-THT_TINY","33.1000","14.3175","90","SMD test pin"
"TP19","TESTPOINT","TopLayer","TP-THT_TINY","33.9325","14.9525","90","SMD test pin"
"TP18","TESTPOINT","TopLayer","TP-THT_TINY","32.8750","10.7582","90","SMD test pin"
"TP17","TESTPOINT","TopLayer","TP-THT_TINY","31.5250","19.3000","90","SMD test pin"
"TP16","TESTPOINT","TopLayer","TP-THT_TINY","16.9000","17.9250","90","SMD test pin"
"TP15","TESTPOINT","TopLayer","TP-THT_TINY","17.9000","17.9250","90","SMD test pin"
"TP14","TESTPOINT","TopLayer","TP-THT_TINY","18.8793","17.9250","90","SMD test pin"
"TP13","TESTPOINT","TopLayer","TP-THT_TINY","24.8000","14.9525","90","SMD test pin"
"TP12","TESTPOINT","TopLayer","TP-THT_TINY","24.8000","13.6825","90","SMD test pin"
"TP11","TESTPOINT","TopLayer","TP-THT_TINY","20.8000","16.9079","90","SMD test pin"
"TP10","TESTPOINT","TopLayer","TP-THT_TINY","21.9000","16.9079","90","SMD test pin"
"TP9","TESTPOINT","TopLayer","TP-THT_TINY","14.7000","16.8329","90","SMD test pin"
"TP8","TESTPOINT","TopLayer","TP-THT_TINY","18.0000","5.6000","90","SMD test pin"
"TP7","TESTPOINT","TopLayer","TP-THT_TINY","23.0000","10.1000","90","SMD test pin"
"TP6","TESTPOINT","TopLayer","TP-THT_TINY","23.0000","11.2000","90","SMD test pin"
"TP5","TESTPOINT","TopLayer","TP-THT_TINY","12.1500","10.8250","90","SMD test pin"
"TP4","TESTPOINT","TopLayer","TP-THT_TINY","22.1000","14.7500","90","SMD test pin"
